length,price_change,max_price,min_price,volatility,avg_volume,trend_slope,normalized_series,segment_id,start_date,end_date,code
2,0.059859859859859754,52.94,49.95,,17276750.0,1.4949999999999974,[0. 1.],0,2024-09-02,2024-09-03,688008
6,-0.0053753119600691325,52.09,51.3,0.006043378999561929,7986955.833333333,-0.046666666666666856,[1.         0.88607595 0.55696203 0.         0.25316456 0.64556962],1,2024-09-04,2024-09-11,688008
5,-0.031634446397188,51.21,48.96,0.0197904904234576,10335797.6,-0.3239999999999995,[1.         0.93777778 0.15111111 0.         0.28      ],2,2024-09-12,2024-09-20,688008
2,0.03154639175257734,50.03,48.5,,13671292.5,0.7650000000000006,[0. 1.],3,2024-09-23,2024-09-24,688008
5,0.6080945702264078,80.26,49.91,0.07106969721356773,46681956.0,6.070000000000002,[0.         0.07808896 0.23360791 0.55914333 1.        ],4,2024-09-25,2024-10-08,688008
4,-0.14640989669684976,78.41,65.52,0.06279180161997935,70762904.0,-2.8699999999999974,[1.         0.41660202 0.         0.10938712],5,2024-10-09,2024-10-14,688008
6,0.09138461538461536,70.94,61.34,0.06310827388599503,62593675.333333336,0.9899999999999997,[0.38125    0.1        0.         0.79270833 0.89479167 1.        ],6,2024-10-15,2024-10-22,688008
3,0.01981063364894391,70.01,68.65,0.006745343544356863,43348504.0,0.45333333333333314,[0.         0.25735294 1.        ],7,2024-10-23,2024-10-25,688008
3,-0.0001447387465625288,69.09,67.92,0.024051070237888408,35632842.666666664,-0.0033333333333350388,[1.         0.         0.99145299],8,2024-10-28,2024-10-30,688008
4,0.008624470106709596,69.0,64.55,0.05326636916428069,45851538.0,0.14750000000000085,[0.86741573 0.         0.33707865 1.        ],9,2024-10-31,2024-11-05,688008
4,0.14195906432748528,78.11,68.4,0.053296568133703946,60572234.0,2.4274999999999984,[0.         0.20391349 0.22966014 1.        ],10,2024-11-06,2024-11-11,688008
2,0.013306451612903156,75.39,74.4,,54382570.0,0.49499999999999744,[0. 1.],11,2024-11-12,2024-11-13,688008
4,-0.04937238493723858,71.7,66.2,0.03974471385313944,36042368.0,-0.8850000000000016,[1.         0.46       0.         0.35636364],12,2024-11-14,2024-11-19,688008
6,-0.018687463213655036,67.96,63.11,0.03956692997643298,27771601.666666668,-0.211666666666666,[1.         0.9257732  0.16494845 0.10721649 0.         0.73814433],13,2024-11-20,2024-11-27,688008
