total_days,start_date,end_date,overall_return,volatility,up_wave_count,down_wave_count,up_wave_avg_days,down_wave_avg_days,up_wave_avg_pct,down_wave_avg_pct,momentum,trend_state,consecutive_days_vs_ma,avg_volume,volume_trend,code
420,2024-08-29,2026-05-29,3.9269717624148,0.037500855040273284,2,2,2.0,7.0,-0.03679434901369666,0.08076100839919928,0.044076106132605895,above,34,38082700.15,5.276034892993885,688008
420,2024-08-29,2026-05-29,0.7122302158273381,0.03416629683646272,2,2,62.0,9.0,-0.028960170264518074,0.05487343577532216,-0.021482166718059373,mixed,1,12588806.283333333,8.916322126442873,688055
420,2024-08-29,2026-05-29,2.1269732326698696,0.036198716650175364,0,1,0.0,12.0,0.0,0.05766526019690566,0.17366719476538275,above,35,31000247.82142857,22.91546072004823,688249
420,2024-08-29,2026-05-29,0.23600746268656708,0.03701458167505371,6,6,14.833333333333334,27.833333333333332,-0.027324410886169406,0.04200566065921977,-0.08503953319752791,below,5,58092974.9047619,1.8993774717434706,688472
420,2024-08-29,2026-05-29,0.35294117647058815,0.028310282722153687,1,1,1.0,15.0,-0.03357531760435565,0.037558685446009425,-0.00997540311560541,mixed,1,15072977.361904763,10.33375240425281,688728
420,2024-08-29,2026-05-29,1.1336254107338444,0.03130112097485202,1,1,1.0,16.0,-0.04394426580921759,0.02690582959641258,0.2777540913712245,above,25,13532833.002380952,11.602967586295394,688352
420,2024-08-29,2026-05-29,1.7909887359199,0.04305253764292228,0,0,0.0,0.0,0.0,0.0,0.07633274609648391,mixed,1,16397384.611904763,6.656787953478483,688108
420,2024-08-29,2026-05-29,0.8469740634005763,0.030133907622086523,1,1,6.0,7.0,-0.02965864577504203,0.0320069204152249,0.03529601809223802,above,35,12283777.035714285,33.50388442175813,688396
420,2024-08-29,2026-05-29,4.5272108843537415,0.04196519159552975,2,2,2.5,5.0,-0.03518119936304613,0.029599432825239268,0.02888258075409173,mixed,1,18218360.13095238,7.5576602416808845,688388
142,2025-10-28,2026-05-29,0.4733980582524271,0.03537410902283522,3,3,3.6666666666666665,37.666666666666664,-0.03396964464532859,0.045510053829500095,0.17305135578023045,above,31,16899695.683098592,-0.5609293265234895,688783
420,2024-08-29,2026-05-29,1.2326869806094187,0.028563349453937934,0,1,0.0,12.0,0.0,0.037249283667621744,0.05043659585559773,above,31,110210638.35238095,36.157593872417074,688469
420,2024-08-29,2026-05-29,0.7697201017811705,0.04143013978819709,3,3,1.0,3.3333333333333335,-0.03909016024258578,0.025912387696616798,-0.025432635045190187,mixed,1,39611843.61666667,3.364377104234064,688327
420,2024-08-29,2026-05-29,-0.08757396449704134,0.03454395448546241,12,11,11.333333333333334,19.727272727272727,-0.03639719995885827,0.054625429287250664,-0.10074354862224819,below,7,40455066.63095238,2.034212487222188,688599
420,2024-08-29,2026-05-29,0.11287313432835812,0.04513475153253348,5,6,34.0,4.333333333333333,-0.09903934777380081,0.030561875190551896,-0.14231280779323482,below,8,30382749.516666666,6.061101939971202,688556
420,2024-08-29,2026-05-29,6.288806758183738,0.05099192044378424,0,1,0.0,14.0,0.0,0.03844041735310265,0.23500415991984347,above,6,17287662.921428572,3.2345333791954993,688183
420,2024-08-29,2026-05-29,1.5254777070063694,0.036174628432965275,1,2,123.0,9.0,-0.06381697772426241,0.0635001631017288,0.16273954927347115,mixed,2,8939967.990476191,19.086551933736896,688006
420,2024-08-29,2026-05-29,2.538674033149171,0.0437632856063684,1,1,1.0,17.0,-0.024455077086655893,0.0419618528610354,0.15435564246514877,above,9,14030052.073809523,9.057740298286348,688362
